_id,start_station_id,start_station_name,start_station_latitude,start_station_longitude
ObjectId("5e4e2e36dbd3e62f6ebce49d"),3094,Graham Ave & Withers St,40.7169811,-73.94485918
ObjectId("5e4e2e36dbd3e62f6ebce49e"),3095,Graham Ave & Herbert St,40.71929301,-73.94500379
ObjectId("5e4e2e36dbd3e62f6ebce49f"),3096,Union Ave & N 12 St,40.71924,-73.95242
ObjectId("5e4e2e36dbd3e62f6ebce4a0"),310,State St & Smith St,40.68926942,-73.98912867
ObjectId("5e4e2e36dbd3e62f6ebce4a1"),3100,Nassau Ave & Newell St,40.72481256,-73.94752622
ObjectId("5e4e2e36dbd3e62f6ebce4a2"),3101,N 12 St & Bedford Ave,40.72079821,-73.95484712
ObjectId("5e4e2e36dbd3e62f6ebce4a3"),3102,Driggs Ave & Lorimer St,40.72179134,-73.9504154
ObjectId("5e4e2e36dbd3e62f6ebce4a4"),3105,N 15 St & Wythe Ave,40.724055,-73.955736
ObjectId("5e4e2e36dbd3e62f6ebce4a5"),3106,Driggs Ave & N Henry St,40.72325,-73.94308
ObjectId("5e4e2e36dbd3e62f6ebce4a6"),3107,Bedford Ave & Nassau Ave,40.72311651,-73.95212324
ObjectId("5e4e2e36dbd3e62f6ebce4a7"),3108,Nassau Ave & Russell St,40.72557,-73.94434
ObjectId("5e4e2e36dbd3e62f6ebce4a8"),3109,Banker St & Meserole Ave,40.72606,-73.95621
ObjectId("5e4e2e36dbd3e62f6ebce4a9"),311,Norfolk St & Broome St,40.7172274,-73.98802084
ObjectId("5e4e2e36dbd3e62f6ebce4aa"),3110,Meserole Ave & Manhattan Ave,40.72708584,-73.95299117
ObjectId("5e4e2e36dbd3e62f6ebce4ab"),3112,Milton St & Franklin St,40.72906,-73.95779
ObjectId("5e4e2e36dbd3e62f6ebce4ac"),3113,Greenpoint Ave & Manhattan Ave,40.73026,-73.95394
ObjectId("5e4e2e36dbd3e62f6ebce4ad"),3115,India St & Manhattan Ave,40.73232194,-73.9550858
ObjectId("5e4e2e36dbd3e62f6ebce4ae"),3116,Huron St & Franklin St,40.73266,-73.95826
ObjectId("5e4e2e36dbd3e62f6ebce4af"),3117,Franklin St & Dupont St,40.73564,-73.95866
ObjectId("5e4e2e36dbd3e62f6ebce4b0"),3118,McGuinness Blvd & Eagle St,40.73555,-73.95284
ObjectId("5e4e2e36dbd3e62f6ebce4b1"),3119,Vernon Blvd & 50 Ave,40.74232744,-73.95411749
ObjectId("5e4e2e36dbd3e62f6ebce4b2"),312,Allen St & Stanton St,40.722055,-73.989111
ObjectId("5e4e2e36dbd3e62f6ebce4b3"),3121,Jackson Ave & 46 Rd,40.74524768,-73.94733276
ObjectId("5e4e2e36dbd3e62f6ebce4b4"),3122,48 Ave & 5 St,40.74436329,-73.95587325
ObjectId("5e4e2e36dbd3e62f6ebce4b5"),3123,31 St & Thomson Ave,40.74469738,-73.93540375
ObjectId("5e4e2e36dbd3e62f6ebce4b6"),3124,46 Ave & 5 St,40.74731,-73.95451
ObjectId("5e4e2e36dbd3e62f6ebce4b7"),3125,45 Rd & 11 St,40.74708586,-73.94977234
ObjectId("5e4e2e36dbd3e62f6ebce4b8"),3126,44 Dr & Jackson Ave,40.74718234,-73.9432635
ObjectId("5e4e2e36dbd3e62f6ebce4b9"),3127,9 St & 44 Rd,40.74966,-73.9521
ObjectId("5e4e2e36dbd3e62f6ebce4ba"),3128,21 St & 43 Ave,40.75052534,-73.94594845
ObjectId("5e4e2e36dbd3e62f6ebce4bb"),3129,Queens Plaza North & Crescent St,40.75110165,-73.94073717
ObjectId("5e4e2e36dbd3e62f6ebce4bc"),313,Washington Ave & Park Ave,40.69610226,-73.96751037
ObjectId("5e4e2e36dbd3e62f6ebce4bd"),3130,21 St & Queens Plaza North,40.75325964,-73.94335788
ObjectId("5e4e2e36dbd3e62f6ebce4be"),3131,E 68 St & 3 Ave,40.7671284,-73.96224618
ObjectId("5e4e2e36dbd3e62f6ebce4bf"),3132,E 59 St & Madison Ave,40.76350532,-73.97109243
ObjectId("5e4e2e36dbd3e62f6ebce4c0"),3134,3 Ave & E 62 St,40.76312584,-73.96526895
ObjectId("5e4e2e36dbd3e62f6ebce4c1"),3135,E 75 St & 3 Ave,40.77112927,-73.95772297
ObjectId("5e4e2e36dbd3e62f6ebce4c2"),3136,5 Ave & E 63 St,40.766368,-73.971518
ObjectId("5e4e2e36dbd3e62f6ebce4c3"),3137,5 Ave & E 73 St,40.77282817,-73.96685276
ObjectId("5e4e2e36dbd3e62f6ebce4c4"),3139,E 72 St & Park Ave,40.77118288,-73.96409422
ObjectId("5e4e2e36dbd3e62f6ebce4c5"),314,Cadman Plaza West & Montague St,40.69383,-73.990539
ObjectId("5e4e2e36dbd3e62f6ebce4c6"),3140,1 Ave & E 78 St,40.77140426,-73.9535166
ObjectId("5e4e2e36dbd3e62f6ebce4c7"),3141,1 Ave & E 68 St,40.76500525,-73.95818491
ObjectId("5e4e2e36dbd3e62f6ebce4c8"),3142,1 Ave & E 62 St,40.7612274,-73.96094022
ObjectId("5e4e2e36dbd3e62f6ebce4c9"),3143,5 Ave & E 78 St,40.77632142,-73.96427393
ObjectId("5e4e2e36dbd3e62f6ebce4ca"),3145,E 84 St & Park Ave,40.77862688,-73.95772073
ObjectId("5e4e2e36dbd3e62f6ebce4cb"),3146,E 81 St & 3 Ave,40.77573034,-73.9567526
ObjectId("5e4e2e36dbd3e62f6ebce4cc"),3148,E 84 St & 1 Ave,40.77565541,-73.95068615
ObjectId("5e4e2e36dbd3e62f6ebce4cd"),315,South St & Gouverneur Ln,40.70355377,-74.00670227
ObjectId("5e4e2e36dbd3e62f6ebce4ce"),3150,E 85 St & York Ave,40.77536905,-73.94803392
ObjectId("5e4e2e36dbd3e62f6ebce4cf"),3151,E 81 St & York Ave,40.7728384,-73.94989233
ObjectId("5e4e2e36dbd3e62f6ebce4d0"),3152,3 Ave & E 71 St,40.76873687,-73.96119945
ObjectId("5e4e2e36dbd3e62f6ebce4d1"),3154,E 77 St & 3 Ave,40.77314236,-73.95856158
ObjectId("5e4e2e36dbd3e62f6ebce4d2"),3155,Lexington Ave & E 63 St,40.76440023,-73.96648977
ObjectId("5e4e2e36dbd3e62f6ebce4d3"),3156,E 72 St & York Ave,40.76663814,-73.95348296
ObjectId("5e4e2e36dbd3e62f6ebce4d4"),3157,East End Ave & E 86 St,40.77518615,-73.94446054
ObjectId("5e4e2e36dbd3e62f6ebce4d5"),3158,W 63 St & Broadway,40.77163851,-73.98261428
ObjectId("5e4e2e36dbd3e62f6ebce4d6"),3159,W 67 St & Broadway,40.77492513,-73.98266566
ObjectId("5e4e2e36dbd3e62f6ebce4d7"),316,Fulton St & William St,40.70955958,-74.00653609
ObjectId("5e4e2e36dbd3e62f6ebce4d8"),3160,Central Park West & W 76 St,40.77896784,-73.97374737
ObjectId("5e4e2e36dbd3e62f6ebce4d9"),3161,W 76 St & Columbus Ave,40.78018397,-73.97728533
ObjectId("5e4e2e36dbd3e62f6ebce4da"),3162,W 78 St & Broadway,40.78339981,-73.98093133
ObjectId("5e4e2e36dbd3e62f6ebce4db"),3163,Central Park West & W 68 St,40.7734066,-73.97782542
ObjectId("5e4e2e36dbd3e62f6ebce4dc"),3164,Columbus Ave & W 72 St,40.7770575,-73.97898475
ObjectId("5e4e2e36dbd3e62f6ebce4dd"),3165,Central Park West & W 72 St,40.77579377,-73.97620574
ObjectId("5e4e2e36dbd3e62f6ebce4de"),3166,Riverside Dr & W 72 St,40.78057799,-73.98562431
ObjectId("5e4e2e36dbd3e62f6ebce4df"),3167,Amsterdam Ave & W 73 St,40.77966809,-73.98093045
ObjectId("5e4e2e36dbd3e62f6ebce4e0"),3168,Central Park West & W 85 St,40.78472675,-73.96961715
ObjectId("5e4e2e36dbd3e62f6ebce4e1"),3169,Riverside Dr & W 82 St,40.78720869,-73.98128127
ObjectId("5e4e2e36dbd3e62f6ebce4e2"),317,E 6 St & Avenue B,40.72453734,-73.98185424
ObjectId("5e4e2e36dbd3e62f6ebce4e3"),3170,W 84 St & Columbus Ave,40.78499979,-73.97283406
ObjectId("5e4e2e36dbd3e62f6ebce4e4"),3171,Amsterdam Ave & W 82 St,40.78524672,-73.97667321
ObjectId("5e4e2e36dbd3e62f6ebce4e5"),3172,W 74 St & Columbus Ave,40.7785669,-73.97754961
ObjectId("5e4e2e36dbd3e62f6ebce4e6"),3173,Riverside Blvd & W 67 St,40.77750703,-73.98888588
ObjectId("5e4e2e36dbd3e62f6ebce4e7"),3175,W 70 St & Amsterdam Ave,40.77748046,-73.98288594
